strand,ring,x_m,y_m,I_amplitude_A,I_phase_deg
1.800000000000000000e+01,2.000000000000000000e+00,2.283696428884767155e-04,-3.955478243892021932e-04,6.098744633429099664e-03,-9.229689380285499567e+01
1.900000000000000000e+01,3.000000000000000000e+00,5.709241072211917751e-04,1.977739121946010966e-04,1.244924474188972494e-02,-1.479959859527924095e+02
2.000000000000000000e+01,3.000000000000000000e+00,1.141848214442383577e-04,-5.933217365838033440e-04,1.244922061363168235e-02,-1.479959438569310635e+02
2.100000000000000000e+01,3.000000000000000000e+00,-1.141848214442383577e-04,-5.933217365838033440e-04,1.244919662325589226e-02,-1.479960780249004415e+02
2.200000000000000000e+01,3.000000000000000000e+00,4.567392857769534309e-04,-3.955478243892021932e-04,1.244923040136019544e-02,-1.479955840363644484e+02
2.300000000000000000e+01,3.000000000000000000e+00,-4.567392857769534309e-04,-3.955478243892021932e-04,1.244932415857321305e-02,-1.479958455747251378e+02
2.400000000000000000e+01,3.000000000000000000e+00,-4.567392857769534309e-04,3.955478243892021932e-04,1.244934677356592835e-02,-1.479955235140516265e+02
2.500000000000000000e+01,3.000000000000000000e+00,-5.709241072211917751e-04,1.977739121946010966e-04,1.244953505959345980e-02,-1.479955824166292189e+02
2.600000000000000000e+01,3.000000000000000000e+00,5.709241072211917751e-04,-1.977739121946010966e-04,1.244926561536525804e-02,-1.479958835026650092e+02
2.700000000000000000e+01,3.000000000000000000e+00,-5.709241072211917751e-04,-1.977739121946010966e-04,1.244951050280307045e-02,-1.479958376625356493e+02
2.800000000000000000e+01,3.000000000000000000e+00,1.141848214442383577e-04,5.933217365838033440e-04,1.244920375578434206e-02,-1.479959873673256254e+02
2.900000000000000000e+01,3.000000000000000000e+00,4.567392857769534309e-04,3.955478243892021932e-04,1.244921175136983436e-02,-1.479956317147278639e+02
3.000000000000000000e+01,3.000000000000000000e+00,-1.141848214442383577e-04,5.933217365838033440e-04,1.244922887405411176e-02,-1.479960309811810646e+02
3.100000000000000000e+01,3.000000000000000000e+00,-3.425544643327150867e-04,5.933217365838033440e-04,2.151124048971057509e-02,-1.679692271817221751e+02
3.200000000000000000e+01,3.000000000000000000e+00,-6.851089286654301735e-04,0.000000000000000000e+00,2.151184311673106850e-02,-1.679694333878249779e+02
3.300000000000000000e+01,3.000000000000000000e+00,3.425544643327150867e-04,5.933217365838033440e-04,2.151116285524901084e-02,-1.679690945952874301e+02
3.400000000000000000e+01,3.000000000000000000e+00,6.851089286654301735e-04,0.000000000000000000e+00,2.151139059956086105e-02,-1.679695205954693620e+02
3.500000000000000000e+01,3.000000000000000000e+00,3.425544643327150867e-04,-5.933217365838033440e-04,2.151116750358724253e-02,-1.679692330660416246e+02
3.600000000000000000e+01,3.000000000000000000e+00,-3.425544643327150867e-04,-5.933217365838033440e-04,2.151120393697180180e-02,-1.679693861097608760e+02
3.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,-7.910956487784043863e-04,3.494175107843810330e-02,1.347239135679270987e+02
3.800000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,7.910956487784043863e-04,3.494185988766529416e-02,1.347239810835280025e+02
3.900000000000000000e+01,3.000000000000000000e+00,6.851089286654301735e-04,-3.955478243892021932e-04,3.494172906363168796e-02,1.347244010774686842e+02
