f_Hz,delta_m,Frac_over_Rdc,exact_over_Rdc,L_int_nH_per_m
5.000000000000000000e+04,2.955433097999895348e-04,1.966031102903253780e+00,1.965971775474602889e+00,2.906179387359647492e+01
1.000000000000000000e+05,2.089806784938892138e-04,2.661700969964634123e+00,2.661632717805169079e+00,2.073190466365560880e+01
2.000000000000000000e+05,1.477716548999947674e-04,3.647258363024638683e+00,3.647199979624077493e+00,1.475582037027352555e+01
5.000000000000000000e+05,9.345900061927291721e-05,5.608671118969152936e+00,5.608642248878045855e+00,9.377984965889281099e+00
1.000000000000000000e+06,6.608549310080563189e-05,7.822093497989270894e+00,7.822132617599955928e+00,6.651704266541399235e+00
