r_m,J_amplitude_A_per_m2,J_phase_deg
3.712750366389838783e-05,2.799667078281595604e+05,3.995889585759009321e+01
3.761602344894968472e-05,2.799704495223199483e+05,4.000678290415821436e+01
3.810454323400097484e-05,2.799743398148019332e+05,4.005529504377792449e+01
3.859306301905227174e-05,2.799783825859730132e+05,4.010443221851947015e+01
3.908158280410356186e-05,2.799825817659449531e+05,4.015419436818773846e+01
3.957010258915485875e-05,2.799869413345530629e+05,4.020458143026429809e+01
4.005862237420615565e-05,2.799914653213342535e+05,4.025559333984880084e+01
4.054714215925744577e-05,2.799961578055041027e+05,4.030723002959967971e+01
4.103566194430874266e-05,2.800010229159338633e+05,4.035949142967410808e+01
4.152418172936003956e-05,2.800060648311255500e+05,4.041237746766739747e+01
4.201270151441132967e-05,2.800112877791866194e+05,4.046588806855152853e+01
4.250122129946262657e-05,2.800166960378043586e+05,4.052002315461317039e+01
4.298974108451392346e-05,2.800222939342178870e+05,4.057478264539091128e+01
4.347826086956521358e-05,2.800280858451906824e+05,4.063016645761185686e+01
4.396678065461651048e-05,2.800340761969811865e+05,4.068617450512757472e+01
4.445530043966780737e-05,2.800402694653130020e+05,4.074280669884931427e+01
4.494382022471909749e-05,2.800466701753433445e+05,4.080006294668261546e+01
4.543234000977039439e-05,2.800532829016313772e+05,4.085794315346119987e+01
4.592085979482169128e-05,2.800601122681048000e+05,4.091644722088030761e+01
4.640937957987298140e-05,2.800671629480251577e+05,4.097557504742923840e+01
4.689789936492427829e-05,2.800744396639532642e+05,4.103532652832335970e+01
4.738641914997557519e-05,2.800819471877118340e+05,4.109570155543543279e+01
4.787493893502686531e-05,2.800896903403482283e+05,4.115670001722627092e+01
4.836345872007816220e-05,2.800976739920955151e+05,4.121832179867481472e+01
4.885197850512945910e-05,2.801059030623321887e+05,4.128056678120751144e+01
4.934049829018074922e-05,2.801143825195409008e+05,4.134343484262711854e+01
4.982901807523204611e-05,2.801231173812658526e+05,4.140692585704091044e+01
5.031753786028334301e-05,2.801321127140693134e+05,4.147103969478814633e+01
5.080605764533463312e-05,2.801413736334856949e+05,4.153577622236709743e+01
5.129457743038593002e-05,2.801509053039758001e+05,4.160113530236132817e+01
5.178309721543722691e-05,2.801607129388786270e+05,4.166711679336543739e+01
5.227161700048851703e-05,2.801708018003620091e+05,4.173372054991023106e+01
5.276013678553981393e-05,2.801811771993724979e+05,4.180094642238722713e+01
5.324865657059111082e-05,2.801918444955826853e+05,4.186879425697267720e+01
5.373717635564240094e-05,2.802028090973381768e+05,4.193726389555091316e+01
5.422569614069369784e-05,2.802140764616022352e+05,4.200635517563718935e+01
5.471421592574499473e-05,2.802256520938997273e+05,4.207606793029997760e+01
5.520273571079628485e-05,2.802375415482586832e+05,4.214640198808262284e+01
5.569125549584758174e-05,2.802497504271509824e+05,4.221735717292451540e+01
5.617977528089887186e-05,2.802622843814315274e+05,4.228893330408170215e+01
5.666829506595016876e-05,2.802751491102744476e+05,4.236113019604700725e+01
5.715681485100146565e-05,2.802883503611098859e+05,4.243394765846950634e+01
5.764533463605275577e-05,2.803018939295572927e+05,4.250738549607363126e+01
5.813385442110405267e-05,2.803157856593577890e+05,4.258144350857763527e+01
5.862237420615534956e-05,2.803300314423050149e+05,4.265612149061163905e+01
5.911089399120663968e-05,2.803446372181734187e+05,4.273141923163512956e+01
5.959941377625793658e-05,2.803596089746458456e+05,4.280733651585400423e+01
6.008793356130923347e-05,2.803749527472385671e+05,4.288387312213713187e+01
6.057645334636052359e-05,2.803906746192243882e+05,4.296102882393238076e+01
6.106497313141182048e-05,2.804067807215550565e+05,4.303880338918236248e+01
6.155349291646311060e-05,2.804232772327803541e+05,4.311719658023942259e+01
6.204201270151441427e-05,2.804401703789659077e+05,4.319620815378052470e+01
6.253053248656570439e-05,2.804574664336095448e+05,4.327583786072145955e+01
6.301905227161699451e-05,2.804751717175546801e+05,4.335608544613074855e+01
6.350757205666829818e-05,2.804932925989028299e+05,4.343695064914307125e+01
6.399609184171958830e-05,2.805118354929230991e+05,4.351843320287236594e+01
6.448461162677087842e-05,2.805308068619606202e+05,4.360053283432443294e+01
6.497313141182218209e-05,2.805502132153418497e+05,4.368324926430927491e+01
6.546165119687347221e-05,2.805700611092787003e+05,4.376658220735293980e+01
6.595017098192476233e-05,2.805903571467698785e+05,4.385053137160914360e+01
