r_m,J_amplitude_A_per_m2,J_phase_deg
1.880801172447484168e-04,3.230999106922362116e+05,8.169434799164137928e+01
1.885686370297996934e-04,3.235258714221250266e+05,8.189531507343650674e+01
1.890571568148509971e-04,3.239547091783751966e+05,8.209648238506566997e+01
1.895456765999023008e-04,3.243864325567193446e+05,8.229784735655077554e+01
1.900341963849535773e-04,3.248210501166047761e+05,8.249940742315710906e+01
1.905227161700048810e-04,3.252585703811261337e+05,8.270116002559151980e+01
1.910112359550561847e-04,3.256990018369659665e+05,8.290310261019953941e+01
1.914997557401074612e-04,3.261423529343410628e+05,8.310523262916127862e+01
1.919882755251587649e-04,3.265886320869558258e+05,8.330754754068617274e+01
1.924767953102100686e-04,3.270378476719640894e+05,8.351004480920634876e+01
1.929653150952613451e-04,3.274900080299346009e+05,8.371272190556886983e+01
1.934538348803126488e-04,3.279451214648262830e+05,8.391557630722645911e+01
1.939423546653639525e-04,3.284031962439686176e+05,8.411860549842695889e+01
1.944308744504152290e-04,3.288642405980496551e+05,8.432180697040136863e+01
1.949193942354665327e-04,3.293282627211100771e+05,8.452517822155029137e+01
1.954079140205178364e-04,3.297952707705448265e+05,8.472871675762912957e+01
1.958964338055691130e-04,3.302652728671106743e+05,8.493242009193144781e+01
1.963849535906204166e-04,3.307382770949415863e+05,8.513628574547104222e+01
1.968734733756717203e-04,3.312142915015693870e+05,8.534031124716216254e+01
1.973619931607229969e-04,3.316933240979526308e+05,8.554449413399832736e+01
1.978505129457743005e-04,3.321753828585111187e+05,8.574883195122920654e+01
1.983390327308256042e-04,3.326604757211679243e+05,8.595332225253595482e+01
1.988275525158768808e-04,3.331486105873970082e+05,8.615796260020482578e+01
1.993160723009281844e-04,3.336397953222786309e+05,8.636275056529883898e+01
1.998045920859794881e-04,3.341340377545606461e+05,8.656768372782778442e+01
2.002931118710307647e-04,3.346313456767263706e+05,8.677275967691628011e+01
2.007816316560820684e-04,3.351317268450699048e+05,8.697797601097006748e+01
2.012701514411333720e-04,3.356351889797761105e+05,8.718333033784027464e+01
2.017586712261846486e-04,3.361417397650094936e+05,8.738882027498578964e+01
2.022471910112359523e-04,3.366513868490075693e+05,8.759444344963367257e+01
2.027357107962872559e-04,3.371641378441816778e+05,8.780019749893767766e+01
2.032242305813385325e-04,3.376800003272238537e+05,8.800608007013448741e+01
2.037127503663898362e-04,3.381989818392202724e+05,8.821208882069818458e+01
2.042012701514411398e-04,3.387210898857706343e+05,8.841822141849249306e+01
2.046897899364924164e-04,3.392463319371142425e+05,8.862447554192094401e+01
2.051783097215437201e-04,3.397747154282620759e+05,8.883084888007489610e+01
2.056668295065950237e-04,3.403062477591354400e+05,8.903733913287959467e+01
2.061553492916463003e-04,3.408409362947103800e+05,8.924394401123767295e+01
2.066438690766976040e-04,3.413787883651677985e+05,8.945066123717090534e+01
2.071323888617489077e-04,3.419198112660510815e+05,8.965748854395948797e+01
2.076209086468001842e-04,3.424640122584280907e+05,8.986442367627905980e+01
2.081094284318514879e-04,3.430113985690600239e+05,9.007146439033564889e+01
2.085979482169027916e-04,3.435619773905765614e+05,9.027860845399823120e+01
2.090864680019540681e-04,3.441157558816556702e+05,9.048585364692898736e+01
2.095749877870053718e-04,3.446727411672107410e+05,9.069319776071138506e+01
2.100635075720566755e-04,3.452329403385820915e+05,9.090063859897573195e+01
2.105520273571079520e-04,3.457963604537349311e+05,9.110817397752259694e+01
2.110405471421592557e-04,3.463630085374630289e+05,9.131580172444373034e+01
2.115290669272105594e-04,3.469328915815980290e+05,9.152351968024076712e+01
2.120175867122618359e-04,3.475060165452235960e+05,9.173132569794135804e+01
2.125061064973131396e-04,3.480823903548963135e+05,9.193921764321309809e+01
2.129946262823644433e-04,3.486620199048705399e+05,9.214719339447501056e+01
2.134831460674157199e-04,3.492449120573302498e+05,9.235525084300645915e+01
2.139716658524670235e-04,3.498310736426247167e+05,9.256338789305389980e+01
2.144601856375183272e-04,3.504205114595108898e+05,9.277160246193503212e+01
2.149487054225696038e-04,3.510132322753992630e+05,9.297989248014052066e+01
2.154372252076209074e-04,3.516092428266067291e+05,9.318825589143334298e+01
2.159257449926722111e-04,3.522085498186131008e+05,9.339669065294566508e+01
2.164142647777234877e-04,3.528111599263229291e+05,9.360519473527320145e+01
2.169027845627747913e-04,3.534170797943336074e+05,9.381376612256718772e+01
2.173913043478260950e-04,3.540263160372059210e+05,9.402240281262390909e+01
2.178798241328773716e-04,3.546388752397417556e+05,9.423110281697159962e+01
2.183683439179286753e-04,3.552547639572653570e+05,9.443986416095511061e+01
2.188568637029799789e-04,3.558739887159091886e+05,9.464868488381789291e+01
2.193453834880312555e-04,3.564965560129050282e+05,9.485756303878166307e+01
2.198339032730825592e-04,3.571224723168789060e+05,9.506649669312344031e+01
2.203224230581338357e-04,3.577517440681516891e+05,9.527548392825032408e+01
2.208109428431851394e-04,3.583843776790424017e+05,9.548452283977158572e+01
2.212994626282364431e-04,3.590203795341776568e+05,9.569361153756841532e+01
2.217879824132877196e-04,3.596597559908039402e+05,9.590274814586115326e+01
2.222765021983390233e-04,3.603025133791051339e+05,9.611193080327413441e+01
2.227650219833903270e-04,3.609486580025231233e+05,9.632115766289794578e+01
2.232535417684416035e-04,3.615981961380837020e+05,9.653042689234933960e+01
2.237420615534929072e-04,3.622511340367258526e+05,9.673973667382865926e+01
2.242305813385442109e-04,3.629074779236342292e+05,9.694908520417486386e+01
2.247191011235954875e-04,3.635672339985771687e+05,9.715847069491799459e+01
2.252076209086467911e-04,3.642304084362467402e+05,9.736789137232938174e+01
2.256961406936980948e-04,3.648970073866039165e+05,9.757734547746936471e+01
2.261846604787493714e-04,3.655670369752263068e+05,9.778683126623248256e+01
2.266731802638006750e-04,3.662405033036601380e+05,9.799634700939053289e+01
2.271617000488519787e-04,3.669174124497753801e+05,9.820589099263294486e+01
2.276502198339032553e-04,3.675977704681248288e+05,9.841546151660500641e+01
2.281387396189545589e-04,3.682815833903053426e+05,9.862505689694357613e+01
2.286272594040058626e-04,3.689688572253239108e+05,9.883467546431052142e+01
2.291157791890571392e-04,3.696595979599658167e+05,9.904431556442381179e+01
2.296042989741084429e-04,3.703538115591661190e+05,9.925397555808619643e+01
2.300928187591597465e-04,3.710515039663846255e+05,9.946365382121166476e+01
2.305813385442110231e-04,3.717526811039833119e+05,9.967334874484960494e+01
2.310698583292623268e-04,3.724573488736069412e+05,9.988305873520653222e+01
2.315583781143136304e-04,3.731655131565673510e+05,1.000927822136658278e+02
2.320468978993649070e-04,3.738771798142276821e+05,1.003025176168048489e+02
2.325354176844162107e-04,3.745923546883934177e+05,1.005122633964101482e+02
2.330239374694675143e-04,3.753110436017026077e+05,1.007220180194902639e+02
2.335124572545187909e-04,3.760332523580200505e+05,1.009317799682863495e+02
2.340009770395700946e-04,3.767589867428343860e+05,1.011415477402806857e+02
2.344894968246213982e-04,3.774882525236561778e+05,1.013513198482028770e+02
2.349780166096726748e-04,3.782210554504203610e+05,1.015610948200340857e+02
2.354665363947239785e-04,3.789574012558886898e+05,1.017708711990089512e+02
2.359550561797752822e-04,3.796972956560562598e+05,1.019806475436155324e+02
2.364435759648265587e-04,3.804407443505588453e+05,1.021904224275930773e+02
2.369320957498778624e-04,3.811877530230833800e+05,1.024001944399277875e+02
2.374206155349291661e-04,3.819383273417796008e+05,1.026099621848464523e+02
2.379091353199804426e-04,3.826924729596732650e+05,1.028197242818080639e+02
2.383976551050317463e-04,3.834501955150832655e+05,1.030294793654935290e+02
2.388861748900830500e-04,3.842115006320374669e+05,1.032392260857932769e+02
2.393746946751343265e-04,3.849763939206931391e+05,1.034489631077929062e+02
2.398632144601856302e-04,3.857448809777572751e+05,1.036586891117569280e+02
2.403517342452369339e-04,3.865169673869087128e+05,1.038684027931106471e+02
2.408402540302882104e-04,3.872926587192228762e+05,1.040781028624199962e+02
2.413287738153395141e-04,3.880719605335960514e+05,1.042877880453695951e+02
2.418172936003908178e-04,3.888548783771728631e+05,1.044974570827389044e+02
2.423058133854420944e-04,3.896414177857739269e+05,1.047071087303767030e+02
2.427943331704933980e-04,3.904315842843256542e+05,1.049167417591734619e+02
2.432828529555447017e-04,3.912253833872901741e+05,1.051263549550322551e+02
2.437713727405959783e-04,3.920228205990968854e+05,1.053359471188376943e+02
2.442598925256472819e-04,3.928239014145756955e+05,1.055455170664232298e+02
2.447484123106985856e-04,3.936286313193899696e+05,1.057550636285367887e+02
2.452369320957498893e-04,3.944370157904717489e+05,1.059645856508045227e+02
2.457254518808011929e-04,3.952490602964563877e+05,1.061740819936931501e+02
2.462139716658524424e-04,3.960647702981194598e+05,1.063835515324705199e+02
2.467024914509037461e-04,3.968841512488135486e+05,1.065929931571646136e+02
2.471910112359550498e-04,3.977072085949059692e+05,1.068024057725209275e+02
2.476795310210063534e-04,3.985339477762166644e+05,1.070117882979583186e+02
2.481680508060576571e-04,3.993643742264577304e+05,1.072211396675234027e+02
2.486565705911089608e-04,4.001984933736724779e+05,1.074304588298432179e+02
2.491450903761602102e-04,4.010363106406754232e+05,1.076397447480767084e+02
2.496336101612115139e-04,4.018778314454919891e+05,1.078489963998645038e+02
2.501221299462628176e-04,4.027230612017998938e+05,1.080582127772774328e+02
2.506106497313141212e-04,4.035720053193693748e+05,1.082673928867635169e+02
2.510991695163654249e-04,4.044246692045051022e+05,1.084765357490936424e+02
2.515876893014166744e-04,4.052810582604865194e+05,1.086856403993059672e+02
2.520762090864679780e-04,4.061411778880097554e+05,1.088947058866487936e+02
2.525647288715192817e-04,4.070050334856294212e+05,1.091037312745223460e+02
2.530532486565705854e-04,4.078726304501992417e+05,1.093127156404191709e+02
2.535417684416218891e-04,4.087439741773145506e+05,1.095216580758633143e+02
2.540302882266731927e-04,4.096190700617533294e+05,1.097305576863483196e+02
2.545188080117244422e-04,4.104979234979168978e+05,1.099394135912739046e+02
2.550073277967757459e-04,4.113805398802721174e+05,1.101482249238816564e+02
2.554958475818270495e-04,4.122669246037913836e+05,1.103569908311894068e+02
2.559843673668783532e-04,4.131570830643938389e+05,1.105657104739246392e+02
2.564728871519296569e-04,4.140510206593852490e+05,1.107743830264566611e+02
2.569614069369809605e-04,4.149487427878986346e+05,1.109830076767278939e+02
2.574499267220322100e-04,4.158502548513328657e+05,1.111915836261838422e+02
2.579384465070835137e-04,4.167555622537924792e+05,1.114001100897024372e+02
2.584269662921348173e-04,4.176646704025257495e+05,1.116085862955220165e+02
2.589154860771861210e-04,4.185775847083633416e+05,1.118170114851685497e+02
2.594040058622374247e-04,4.194943105861552176e+05,1.120253849133819131e+02
2.598925256472887284e-04,4.204148534552076017e+05,1.122337058480412111e+02
2.603810454323399778e-04,4.213392187397198868e+05,1.124419735700891465e+02
2.608695652173912815e-04,4.222674118692189222e+05,1.126501873734557364e+02
2.613580850024425852e-04,4.231994382789945230e+05,1.128583465649809057e+02
2.618466047874938888e-04,4.241353034105335828e+05,1.130664504643365120e+02
2.623351245725451925e-04,4.250750127119527315e+05,1.132744984039475042e+02
2.628236443575964962e-04,4.260185716384307598e+05,1.134824897289121992e+02
2.633121641426477456e-04,4.269659856526405201e+05,1.136904237969220475e+02
2.638006839276990493e-04,4.279172602251784410e+05,1.138982999781804892e+02
2.642892037127503530e-04,4.288724008349952637e+05,1.141061176553211425e+02
2.647777234978016567e-04,4.298314129698235774e+05,1.143138762233254795e+02
2.652662432828529603e-04,4.307943021266057622e+05,1.145215750894396791e+02
2.657547630679042640e-04,4.317610738119205926e+05,1.147292136730909249e+02
2.662432828529555135e-04,4.327317335424080957e+05,1.149367914058031346e+02
2.667318026380068171e-04,4.337062868451944669e+05,1.151443077311120646e+02
2.672203224230581208e-04,4.346847392583141918e+05,1.153517621044799455e+02
2.677088422081094245e-04,4.356670963311334490e+05,1.155591539932094207e+02
2.681973619931607281e-04,4.366533636247692630e+05,1.157664828763571734e+02
2.686858817782120318e-04,4.376435467125101713e+05,1.159737482446469414e+02
2.691744015632632813e-04,4.386376511802335153e+05,1.161809496003821778e+02
2.696629213483145849e-04,4.396356826268229051e+05,1.163880864573581135e+02
2.701514411333658886e-04,4.406376466645834735e+05,1.165951583407735228e+02
2.706399609184171923e-04,4.416435489196566632e+05,1.168021647871420896e+02
2.711284807034684960e-04,4.426533950324327452e+05,1.170091053442033200e+02
2.716170004885197996e-04,4.436671906579619390e+05,1.172159795708331416e+02
2.721055202735710491e-04,4.446849414663652424e+05,1.174227870369542330e+02
2.725940400586223528e-04,4.457066531432428746e+05,1.176295273234458705e+02
2.730825598436736564e-04,4.467323313900810899e+05,1.178362000220537169e+02
2.735710796287249601e-04,4.477619819246581174e+05,1.180428047352990291e+02
2.740595994137762638e-04,4.487956104814487044e+05,1.182493410763879780e+02
2.745481191988275674e-04,4.498332228120263317e+05,1.184558086691203584e+02
2.750366389838788169e-04,4.508748246854647296e+05,1.186622071477983411e+02
2.755251587689301206e-04,4.519204218887372408e+05,1.188685361571349972e+02
2.760136785539814243e-04,4.529700202271147864e+05,1.190747953521624396e+02
2.765021983390327279e-04,4.540236255245629582e+05,1.192809843981401343e+02
2.769907181240840316e-04,4.550812436241354444e+05,1.194871029704627858e+02
2.774792379091353353e-04,4.561428803883691435e+05,1.196931507545681512e+02
2.779677576941865847e-04,4.572085416996739805e+05,1.198991274458448970e+02
2.784562774792378884e-04,4.582782334607240628e+05,1.201050327495402854e+02
2.789447972642891921e-04,4.593519615948452265e+05,1.203108663806676191e+02
2.794333170493404957e-04,4.604297320464017685e+05,1.205166280639139131e+02
2.799218368343917994e-04,4.615115507811814896e+05,1.207223175335473826e+02
2.804103566194431031e-04,4.625974237867787015e+05,1.209279345333248017e+02
2.808988764044943525e-04,4.636873570729757776e+05,1.211334788163991050e+02
2.813873961895456562e-04,4.647813566721227253e+05,1.213389501452268604e+02
2.818759159745969599e-04,4.658794286395151285e+05,1.215443482914756146e+02
2.823644357596482636e-04,4.669815790537705179e+05,1.217496730359316359e+02
2.828529555446995672e-04,4.680878140172031126e+05,1.219549241684073735e+02
2.833414753297508709e-04,4.691981396561955917e+05,1.221601014876491860e+02
2.838299951148021204e-04,4.703125621215709834e+05,1.223652048012450422e+02
2.843185148998534240e-04,4.714310875889614108e+05,1.225702339255324773e+02
2.848070346849047277e-04,4.725537222591749160e+05,1.227751886855063788e+02
2.852955544699560314e-04,4.736804723585624015e+05,1.229800689147272408e+02
2.857840742550073350e-04,4.748113441393793910e+05,1.231848744552293624e+02
2.862725940400586387e-04,4.759463438801497687e+05,1.233896051574290880e+02
2.867611138251098882e-04,4.770854778860248043e+05,1.235942608800335449e+02
2.872496336101611918e-04,4.782287524891414796e+05,1.237988414899492682e+02
2.877381533952124955e-04,4.793761740489797085e+05,1.240033468621911226e+02
2.882266731802637992e-04,4.805277489527156577e+05,1.242077768797914672e+02
2.887151929653151029e-04,4.816834836155756493e+05,1.244121314337094759e+02
2.892037127503664065e-04,4.828433844811865711e+05,1.246164104227406142e+02
2.896922325354176560e-04,4.840074580219248310e+05,1.248206137534266418e+02
2.901807523204689597e-04,4.851757107392640901e+05,1.250247413399654448e+02
2.906692721055202633e-04,4.863481491641201428e+05,1.252287931041215785e+02
2.911577918905715670e-04,4.875247798571948078e+05,1.254327689751366250e+02
2.916463116756228707e-04,4.887056094093173742e+05,1.256366688896402337e+02
2.921348314606741743e-04,4.898906444417845341e+05,1.258404927915612319e+02
2.926233512457254238e-04,4.910798916066981037e+05,1.260442406320390631e+02
2.931118710307767275e-04,4.922733575873018708e+05,1.262479123693356229e+02
2.936003908158280312e-04,4.934710490983152413e+05,1.264515079687473218e+02
2.940889106008793348e-04,4.946729728862656048e+05,1.266550274025175327e+02
2.945774303859306385e-04,4.958791357298193616e+05,1.268584706497494068e+02
2.950659501709819422e-04,4.970895444401105633e+05,1.270618376963189036e+02
2.955544699560331916e-04,4.983042058610670501e+05,1.272651285347883601e+02
2.960429897410844953e-04,4.995231268697370542e+05,1.274683431643203306e+02
2.965315095261357990e-04,5.007463143766106223e+05,1.276714815905917817e+02
2.970200293111871026e-04,5.019737753259422607e+05,1.278745438257086988e+02
2.975085490962384063e-04,5.032055166960703209e+05,1.280775298881211768e+02
2.979970688812897100e-04,5.044415454997334746e+05,1.282804398025386092e+02
2.984855886663409594e-04,5.056818687843883527e+05,1.284832735998458020e+02
2.989741084513922631e-04,5.069264936325222370e+05,1.286860313170189158e+02
2.994626282364435668e-04,5.081754271619661013e+05,1.288887129970422052e+02
2.999511480214948705e-04,5.094286765262045665e+05,1.290913186888251687e+02
3.004396678065461741e-04,5.106862489146844600e+05,1.292938484471198421e+02
3.009281875915974778e-04,5.119481515531223267e+05,1.294963023324390292e+02
3.014167073766487273e-04,5.132143917038080981e+05,1.296986804109743048e+02
3.019052271617000309e-04,5.144849766659097513e+05,1.299009827545151552e+02
3.023937469467513346e-04,5.157599137757737190e+05,1.301032094403682322e+02
3.028822667318026383e-04,5.170392104072248330e+05,1.303053605512768627e+02
3.033707865168539419e-04,5.183228739718642901e+05,1.305074361753416383e+02
3.038593063019052456e-04,5.196109119193658116e+05,1.307094364059407781e+02
3.043478260869564951e-04,5.209033317377698258e+05,1.309113613416515136e+02
3.048363458720077987e-04,5.222001409537757281e+05,1.311132110861715887e+02
3.053248656570591024e-04,5.235013471330333850e+05,1.313149857482415257e+02
3.058133854421104061e-04,5.248069578804319026e+05,1.315166854415672333e+02
3.063019052271617098e-04,5.261169808403867064e+05,1.317183102847430121e+02
3.067904250122130134e-04,5.274314236971256323e+05,1.319198604011753275e+02
3.072789447972642629e-04,5.287502941749725724e+05,1.321213359190069241e+02
3.077674645823155666e-04,5.300736000386297237e+05,1.323227369710413939e+02
3.082559843673668702e-04,5.314013490934588481e+05,1.325240636946683139e+02
3.087445041524181739e-04,5.327335491857585730e+05,1.327253162317890371e+02
3.092330239374694776e-04,5.340702082030432066e+05,1.329264947287427105e+02
3.097215437225207812e-04,5.354113340743168956e+05,1.331275993362331178e+02
3.102100635075720307e-04,5.367569347703480162e+05,1.333286302092557492e+02
3.106985832926233344e-04,5.381070183039418189e+05,1.335295875070257523e+02
3.111871030776746381e-04,5.394615927302101627e+05,1.337304713929059687e+02
3.116756228627259417e-04,5.408206661468411330e+05,1.339312820343359931e+02
3.121641426477772454e-04,5.421842466943652835e+05,1.341320196027612894e+02
3.126526624328284949e-04,5.435523425564229256e+05,1.343326842735632454e+02
3.131411822178797985e-04,5.449249619600266451e+05,1.345332762259894253e+02
3.136297020029311022e-04,5.463021131758248666e+05,1.347337956430847044e+02
3.141182217879824059e-04,5.476838045183616923e+05,1.349342427116225736e+02
3.146067415730337095e-04,5.490700443463375559e+05,1.351346176220373252e+02
3.150952613580850132e-04,5.504608410628658021e+05,1.353349205683565515e+02
3.155837811431362627e-04,5.518562031157298479e+05,1.355351517481342398e+02
3.160723009281875663e-04,5.532561389976369683e+05,1.357353113623846355e+02
3.165608207132388700e-04,5.546606572464724304e+05,1.359353996155161610e+02
3.170493404982901737e-04,5.560697664455499034e+05,1.361354167152664161e+02
3.175378602833414774e-04,5.574834752238633810e+05,1.363353628726374041e+02
3.180263800683927810e-04,5.589017922563343309e+05,1.365352383018314413e+02
3.185148998534440305e-04,5.603247262640595436e+05,1.367350432201874639e+02
3.190034196384953342e-04,5.617522860145563027e+05,1.369347778481181024e+02
3.194919394235466378e-04,5.631844803220075555e+05,1.371344424090471819e+02
3.199804592085979415e-04,5.646213180475038243e+05,1.373340371293477347e+02
3.204689789936492452e-04,5.660628080992848845e+05,1.375335622382806662e+02
3.209574987787005488e-04,5.675089594329799293e+05,1.377330179679339324e+02
3.214460185637517983e-04,5.689597810518457554e+05,1.379324045531622005e+02
3.219345383488031020e-04,5.704152820070044836e+05,1.381317222315271920e+02
3.224230581338544056e-04,5.718754713976784842e+05,1.383309712432384515e+02
3.229115779189057093e-04,5.733403583714255365e+05,1.385301518310947415e+02
3.234000977039570130e-04,5.748099521243714262e+05,1.387292642404259198e+02
3.238886174890083167e-04,5.762842619014414959e+05,1.389283087190355275e+02
3.243771372740595661e-04,5.777632969965913799e+05,1.391272855171437470e+02
3.248656570591108698e-04,5.792470667530361097e+05,1.393261948873308711e+02
3.253541768441621735e-04,5.807355805634770077e+05,1.395250370844815393e+02
3.258426966292134771e-04,5.822288478703291621e+05,1.397238123657293443e+02
3.263312164142647808e-04,5.837268781659454107e+05,1.399225209904021767e+02
3.268197361993160845e-04,5.852296809928411385e+05,1.401211632199676842e+02
3.273082559843673339e-04,5.867372659439161653e+05,1.403197393179798098e+02
3.277967757694186376e-04,5.882496426626768662e+05,1.405182495500255584e+02
3.282852955544699413e-04,5.897668208434551489e+05,1.407166941836723879e+02
3.287738153395212450e-04,5.912888102316281293e+05,1.409150734884159704e+02
3.292623351245725486e-04,5.928156206238354789e+05,1.411133877356288906e+02
3.297508549096238523e-04,5.943472618681958411e+05,1.413116371985094872e+02
3.302393746946751018e-04,5.958837438645225484e+05,1.415098221520313757e+02
3.307278944797264054e-04,5.974250765645368956e+05,1.417079428728934261e+02
3.312164142647777091e-04,5.989712699720816454e+05,1.419059996394705934e+02
3.317049340498290128e-04,6.005223341433320893e+05,1.421039927317648335e+02
3.321934538348803164e-04,6.020782791870083893e+05,1.423019224313566156e+02
3.326819736199316201e-04,6.036391152645825641e+05,1.424997890213574863e+02
3.331704934049828696e-04,6.052048525904889684e+05,1.426975927863623781e+02
3.336590131900341732e-04,6.067755014323305804e+05,1.428953340124029694e+02
3.341475329750854769e-04,6.083510721110852901e+05,1.430930129869014991e+02
3.346360527601367806e-04,6.099315750013113720e+05,1.432906299986247518e+02
3.351245725451880843e-04,6.115170205313510960e+05,1.434881853376391234e+02
3.356130923302393879e-04,6.131074191835338715e+05,1.436856792952656861e+02
3.361016121152906374e-04,6.147027814943785779e+05,1.438831121640360209e+02
3.365901319003419411e-04,6.163031180547939148e+05,1.440804842376485624e+02
3.370786516853932447e-04,6.179084395102782873e+05,1.442777958109252836e+02
3.375671714704445484e-04,6.195187565611200407e+05,1.444750471797691773e+02
3.380556912554958521e-04,6.211340799625937361e+05,1.446722386411218224e+02
3.385442110405471557e-04,6.227544205251577077e+05,1.448693704929218313e+02
3.390327308255984052e-04,6.243797891146506881e+05,1.450664430340636670e+02
3.395212506106497089e-04,6.260101966524859890e+05,1.452634565643568294e+02
3.400097703957010126e-04,6.276456541158459149e+05,1.454604113844856670e+02
3.404982901807523162e-04,6.292861725378752453e+05,1.456573077959696718e+02
3.409868099658036199e-04,6.309317630078728544e+05,1.458541461011242006e+02
3.414753297508549236e-04,6.325824366714837961e+05,1.460509266030217361e+02
3.419638495359061730e-04,6.342382047308891779e+05,1.462476496054535744e+02
3.424523693209574767e-04,6.358990784449962666e+05,1.464443154128919673e+02
3.429408891060087804e-04,6.375650691296271980e+05,1.466409243304529468e+02
3.434294088910600840e-04,6.392361881577064050e+05,1.468374766638592916e+02
3.439179286761113877e-04,6.409124469594479306e+05,1.470339727194041473e+02
3.444064484611626914e-04,6.425938570225414587e+05,1.472304128039152431e+02
3.448949682462139408e-04,6.442804298923386959e+05,1.474267972247192802e+02
3.453834880312652445e-04,6.459721771720357938e+05,1.476231262896069438e+02
3.458720078163165482e-04,6.476691105228599627e+05,1.478194003067984568e+02
3.463605276013678519e-04,6.493712416642499156e+05,1.480156195849092740e+02
3.468490473864191555e-04,6.510785823740400374e+05,1.482117844329167156e+02
3.473375671714704592e-04,6.527911444886404788e+05,1.484078951601265430e+02
3.478260869565217087e-04,6.545089399032185320e+05,1.486039520761402741e+02
3.483146067415730123e-04,6.562319805718793068e+05,1.487999554908230095e+02
3.488031265266243160e-04,6.579602785078434972e+05,1.489959057142712311e+02
3.492916463116756197e-04,6.596938457836272428e+05,1.491918030567817937e+02
3.497801660967269233e-04,6.614326945312193129e+05,1.493876478288206044e+02
3.502686858817782270e-04,6.631768369422589894e+05,1.495834403409921549e+02
3.507572056668294765e-04,6.649262852682115044e+05,1.497791809040094222e+02
3.512457254518807801e-04,6.666810518205452245e+05,1.499748698286640547e+02
3.517342452369320838e-04,6.684411489709054586e+05,1.501705074257971830e+02
3.522227650219833875e-04,6.702065891512900125e+05,1.503660940062703730e+02
3.527112848070346912e-04,6.719773848542229971e+05,1.505616298809374314e+02
3.531998045920859948e-04,6.737535486329279374e+05,1.507571153606160124e+02
3.536883243771372443e-04,6.755350931015004171e+05,1.509525507560602762e+02
3.541768441621885480e-04,6.773220309350800235e+05,1.511479363779333482e+02
3.546653639472398516e-04,6.791143748700219439e+05,1.513432725367807734e+02
3.551538837322911553e-04,6.809121377040687948e+05,1.515385595430038848e+02
3.556424035173424590e-04,6.827153322965197731e+05,1.517337977068337977e+02
3.561309233023937626e-04,6.845239715684010880e+05,1.519289873383058023e+02
3.566194430874450121e-04,6.863380685026348801e+05,1.521241287472340389e+02
3.571079628724963158e-04,6.881576361442087218e+05,1.523192222431866298e+02
3.575964826575476195e-04,6.899826876003431389e+05,1.525142681354612080e+02
3.580850024425989231e-04,6.918132360406588996e+05,1.527092667330607583e+02
3.585735222276502268e-04,6.936492946973462822e+05,1.529042183446699710e+02
3.590620420127015305e-04,6.954908768653296866e+05,1.530991232786317084e+02
3.595505617977527799e-04,6.973379959024348063e+05,1.532939818429242109e+02
3.600390815828040836e-04,6.991906652295539388e+05,1.534887943451383308e+02
3.605276013678553873e-04,7.010488983308119932e+05,1.536835610924552782e+02
3.610161211529066909e-04,7.029127087537308689e+05,1.538782823916247366e+02
3.615046409379579946e-04,7.047821101093945326e+05,1.540729585489434044e+02
3.619931607230092983e-04,7.066571160726126982e+05,1.542675898702336212e+02
3.624816805080605477e-04,7.085377403820834588e+05,1.544621766608227063e+02
3.629702002931118514e-04,7.104239968405580148e+05,1.546567192255223517e+02
3.634587200781631551e-04,7.123158993150031893e+05,1.548512178686084724e+02
3.639472398632144588e-04,7.142134617367634783e+05,1.550456728938015090e+02
3.644357596482657624e-04,7.161166981017225189e+05,1.552400846042468743e+02
3.649242794333170661e-04,7.180256224704665365e+05,1.554344533024958537e+02
3.654127992183683156e-04,7.199402489684438333e+05,1.556287792904867899e+02
3.659013190034196192e-04,7.218605917861271882e+05,1.558230628695266091e+02
3.663898387884709229e-04,7.237866651791735785e+05,1.560173043402727160e+02
3.668783585735222266e-04,7.257184834685847163e+05,1.562115040027151736e+02
3.673668783585735302e-04,7.276560610408675857e+05,1.564056621561591669e+02
3.678553981436248339e-04,7.295994123481942806e+05,1.565997790992078649e+02
3.683439179286760834e-04,7.315485519085595151e+05,1.567938551297455376e+02
3.688324377137273870e-04,7.335034943059429061e+05,1.569878905449210151e+02
3.693209574987786907e-04,7.354642541904653190e+05,1.571818856411314584e+02
3.698094772838299944e-04,7.374308462785482407e+05,1.573758407140063582e+02
3.702979970688812981e-04,7.394032853530728025e+05,1.575697560583919596e+02
3.707865168539326017e-04,7.413815862635368248e+05,1.577636319683358863e+02
3.712750366389838512e-04,7.433657639262138400e+05,1.579574687370722188e+02
3.717635564240351549e-04,7.453558333243092056e+05,1.581512666570064880e+02
3.722520762090864585e-04,7.473518095081185456e+05,1.583450260197015496e+02
3.727405959941377622e-04,7.493537075951851439e+05,1.585387471158631172e+02
3.732291157791890659e-04,7.513615427704558242e+05,1.587324302353260919e+02
3.737176355642403696e-04,7.533753302864389261e+05,1.589260756670408625e+02
3.742061553492916190e-04,7.553950854633604176e+05,1.591196836990599479e+02
3.746946751343429227e-04,7.574208236893205903e+05,1.593132546185250646e+02
3.751831949193942264e-04,7.594525604204497067e+05,1.595067887116543091e+02
3.756717147044455300e-04,7.614903111810649280e+05,1.597002862637295664e+02
3.761602344894968337e-04,7.635340915638259612e+05,1.598937475590844031e+02
3.766487542745480832e-04,7.655839172298904741e+05,1.600871728810920160e+02
3.771372740595993868e-04,7.676398039090706734e+05,1.602805625121535797e+02
