strand,ring,x_m,y_m,I_amplitude_A,I_phase_deg
9.600000000000000000e+01,6.000000000000000000e+00,5.785088487178853978e-04,6.894399988070801450e-04,1.242340133191973013e-02,1.641771111544606754e+02
9.700000000000000000e+01,6.000000000000000000e+00,4.500000000000000961e-04,7.794228634059946958e-04,1.241373837275616156e-02,1.641916028846113136e+02
9.800000000000000000e+01,6.000000000000000000e+00,3.078181289931019118e-04,8.457233587073174777e-04,1.242347368502215790e-02,1.641771480295774381e+02
9.900000000000000000e+01,6.000000000000000000e+00,1.562833599002373599e-04,8.863269777109871470e-04,1.244274416023539304e-02,1.641483196195256085e+02
1.000000000000000000e+02,6.000000000000000000e+00,5.510910596163088785e-20,8.999999999999999754e-04,1.245229884458186505e-02,1.641340117833438796e+02
1.010000000000000000e+02,6.000000000000000000e+00,-1.562833599002372786e-04,8.863269777109871470e-04,1.244273439502524038e-02,1.641483698295868692e+02
1.020000000000000000e+02,6.000000000000000000e+00,-3.078181289931016407e-04,8.457233587073175862e-04,1.242346236252164955e-02,1.641772289268375857e+02
1.030000000000000000e+02,6.000000000000000000e+00,-4.499999999999998251e-04,7.794228634059948042e-04,1.241373693664978191e-02,1.641916764626072904e+02
1.040000000000000000e+02,6.000000000000000000e+00,-5.785088487178853978e-04,6.894399988070801450e-04,1.242342095784268116e-02,1.641771405678882161e+02
1.050000000000000000e+02,6.000000000000000000e+00,-6.894399988070801450e-04,5.785088487178855063e-04,1.244267578642770100e-02,1.641482255308622200e+02
1.060000000000000000e+02,6.000000000000000000e+00,-7.794228634059945874e-04,4.500000000000003129e-04,1.245225746470521658e-02,1.641338510828149424e+02
1.070000000000000000e+02,6.000000000000000000e+00,-8.457233587073174777e-04,3.078181289931019660e-04,1.244274729795488005e-02,1.641481902032958544e+02
1.080000000000000000e+02,6.000000000000000000e+00,-8.863269777109871470e-04,1.562833599002372514e-04,1.242352790313959107e-02,1.641771101900286283e+02
1.090000000000000000e+02,6.000000000000000000e+00,-8.999999999999999754e-04,1.102182119232617757e-19,1.241382466077246317e-02,1.641916895751586765e+02
1.100000000000000000e+02,6.000000000000000000e+00,-8.863269777109872554e-04,-1.562833599002370075e-04,1.242348656213000148e-02,1.641772921213829761e+02
1.110000000000000000e+02,6.000000000000000000e+00,-8.457233587073175862e-04,-3.078181289931018034e-04,1.244268780531688177e-02,1.641484543476309454e+02
1.120000000000000000e+02,6.000000000000000000e+00,-7.794228634059946958e-04,-4.500000000000000961e-04,1.245221692035040385e-02,1.641340717302576309e+02
1.130000000000000000e+02,6.000000000000000000e+00,-6.894399988070804702e-04,-5.785088487178849641e-04,1.244268725383593406e-02,1.641483170453014964e+02
1.140000000000000000e+02,6.000000000000000000e+00,-5.785088487178855063e-04,-6.894399988070801450e-04,1.242349912372925011e-02,1.641770809087199154e+02
1.150000000000000000e+02,6.000000000000000000e+00,-4.500000000000003672e-04,-7.794228634059944790e-04,1.241387520275305349e-02,1.641914984425376645e+02
1.160000000000000000e+02,6.000000000000000000e+00,-3.078181289931016949e-04,-8.457233587073175862e-04,1.242363683163425804e-02,1.641769998727409927e+02
1.170000000000000000e+02,6.000000000000000000e+00,-1.562833599002373057e-04,-8.863269777109871470e-04,1.244291557422047036e-02,1.641481762146472079e+02
1.180000000000000000e+02,6.000000000000000000e+00,-1.653273178848926636e-19,-8.999999999999999754e-04,1.245246564935403172e-02,1.641339227575757604e+02
1.190000000000000000e+02,6.000000000000000000e+00,1.562833599002369804e-04,-8.863269777109872554e-04,1.244288817269173161e-02,1.641483265081956802e+02
1.200000000000000000e+02,6.000000000000000000e+00,3.078181289931020744e-04,-8.457233587073174777e-04,1.242359565757676816e-02,1.641771670131748238e+02
