r_m,J_amplitude
1.027568922305764393e-04,1.359933056922109826e-05
1.052631578947368343e-04,1.359933056922109826e-05
1.077694235588972429e-04,1.359933056922109826e-05
1.102756892230576379e-04,1.359933056922109826e-05
1.127819548872180464e-04,1.359933056922109826e-05
1.152882205513784415e-04,1.359933056922109826e-05
1.177944862155388500e-04,1.359933056922109826e-05
1.203007518796992450e-04,1.359933056922109826e-05
1.228070175438596536e-04,1.359933056922109826e-05
1.253132832080200486e-04,1.359933056922109826e-05
1.278195488721804436e-04,1.359933056922109826e-05
1.303258145363408386e-04,1.359933056922109826e-05
1.328320802005012607e-04,1.359933056922109826e-05
1.353383458646616557e-04,1.359933056922109826e-05
1.378446115288220507e-04,1.359933056922109826e-05
1.403508771929824457e-04,1.359933056922109826e-05
1.428571428571428408e-04,1.359933056922109826e-05
1.453634085213032629e-04,1.359933056922109826e-05
1.478696741854636579e-04,1.359933056922109826e-05
1.503759398496240529e-04,1.359933056922109826e-05
1.528822055137844479e-04,1.359933056922109826e-05
1.553884711779448700e-04,1.359933056922109826e-05
1.578947368421052650e-04,1.359933056922109826e-05
1.604010025062656600e-04,1.359933056922109826e-05
1.629072681704260550e-04,1.359933056922109826e-05
1.654135338345864500e-04,1.359933056922109826e-05
1.679197994987468722e-04,1.359933056922109826e-05
1.704260651629072672e-04,1.359933056922109826e-05
1.729323308270676622e-04,1.359933056922109826e-05
1.754385964912280572e-04,1.359933056922109826e-05
1.779448621553884793e-04,1.359933056922109826e-05
1.804511278195488743e-04,1.359933056922109826e-05
1.829573934837092693e-04,1.359933056922109826e-05
1.854636591478696643e-04,1.359933056922109826e-05
1.879699248120300593e-04,1.359933056922109826e-05
1.904761904761904814e-04,1.359933056922109826e-05
1.929824561403508765e-04,1.359933056922109826e-05
1.954887218045112715e-04,1.359933056922109826e-05
1.979949874686716665e-04,1.359933056922109826e-05
2.005012531328320886e-04,1.359933056922109826e-05
2.030075187969924836e-04,1.359933056922109826e-05
2.055137844611528786e-04,1.359933056922109826e-05
2.080200501253132736e-04,1.359933056922109826e-05
2.105263157894736686e-04,1.359933056922109826e-05
2.130325814536340907e-04,1.359933056922109826e-05
2.155388471177944857e-04,1.359933056922109826e-05
2.180451127819548808e-04,1.359933056922109826e-05
2.205513784461152758e-04,1.359933056922109826e-05
2.230576441102756708e-04,1.359933056922109826e-05
2.255639097744360929e-04,1.359933056922109826e-05
2.280701754385964879e-04,1.359933056922109826e-05
2.305764411027568829e-04,1.359933056922109826e-05
2.330827067669172779e-04,1.359933056922109826e-05
2.355889724310777000e-04,1.359933056922109826e-05
2.380952380952380950e-04,1.359933056922109826e-05
