ring,count,rho_mm,I_amplitude_A,phase_deg
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.104361339603115933e-03,-1.064989497440363806e+02
1.000000000000000000e+00,6.000000000000000000e+00,2.283696428884767204e-01,2.104361339604301617e-03,-1.064989497440705435e+02
2.000000000000000000e+00,1.200000000000000000e+01,4.261435550830778851e-01,4.991521436426571597e-03,-7.684729339528753655e+01
3.000000000000000000e+00,1.800000000000000000e+01,6.311758309415030910e-01,1.447339448266415050e-02,-5.296761785790544508e+01
4.000000000000000000e+00,2.400000000000000000e+01,8.378427836799792194e-01,4.386361033323998154e-02,-3.165499124144524856e+01
5.000000000000000000e+00,3.000000000000000000e+01,1.045154190924404869e+00,1.351402665088444199e-01,-1.200885040843865070e+01
6.000000000000000000e+00,3.600000000000000000e+01,1.252785862878330603e+00,4.184895585688889752e-01,6.388820550060331449e+00
