r_m,FD_J,exact_J
1.157791890571568152e-04,2.864262345133372000e+05,2.859877846477444400e+05
1.162677088422081053e-04,2.865360642724583740e+05,2.860974449020493194e+05
1.167562286272593955e-04,2.866472517394128372e+05,2.862084607811791939e+05
1.172447484123106991e-04,2.867598073384355521e+05,2.863208426934293821e+05
1.177332681973619892e-04,2.868737415138253127e+05,2.864346010671278927e+05
1.182217879824132794e-04,2.869890647295229719e+05,2.865497463502151659e+05
1.187103077674645830e-04,2.871057874686871655e+05,2.866662890098196222e+05
1.191988275525158732e-04,2.872239202332674176e+05,2.867842395318325725e+05
1.196873473375671633e-04,2.873434735435746843e+05,2.869036084204781218e+05
1.201758671226184669e-04,2.874644579378489289e+05,2.870244061978823738e+05
1.206643869076697571e-04,2.875868839718245436e+05,2.871466434036389692e+05
1.211529066927210472e-04,2.877107622182927444e+05,2.872703305943725863e+05
1.216414264777723508e-04,2.878361032666623360e+05,2.873954783432998229e+05
1.221299462628236410e-04,2.879629177225169842e+05,2.875220972397875157e+05
1.226184660478749446e-04,2.880912162071705679e+05,2.876501978889087331e+05
1.231069858329262212e-04,2.882210093572204350e+05,2.877797909109970205e+05
1.235955056179775249e-04,2.883523078240980976e+05,2.879108869411969790e+05
1.240840254030288285e-04,2.884851222736176569e+05,2.880434966290140292e+05
1.245725451880801051e-04,2.886194633855220745e+05,2.881776306378612644e+05
1.250610649731314088e-04,2.887553418530271156e+05,2.883132996446039760e+05
1.255495847581827125e-04,2.888927683823638945e+05,2.884505143391029560e+05
1.260381045432339890e-04,2.890317536923182779e+05,2.885892854237544816e+05
1.265266243282852927e-04,2.891723085137694143e+05,2.887296236130297184e+05
1.270151441133365964e-04,2.893144435892252368e+05,2.888715396330110379e+05
1.275036638983878729e-04,2.894581696723574423e+05,2.890150442209273460e+05
1.279921836834391766e-04,2.896034975275330362e+05,2.891601481246866169e+05
1.284807034684904803e-04,2.897504379293458769e+05,2.893068621024079039e+05
1.289692232535417568e-04,2.898990016621446703e+05,2.894551969219506136e+05
1.294577430385930605e-04,2.900491995195613126e+05,2.896051633604426752e+05
1.299462628236443642e-04,2.902010423040358000e+05,2.897567722038070206e+05
1.304347826086956407e-04,2.903545408263410209e+05,2.899100342462866683e+05
